title,link,keyword1,keyword2
休賽季操盤還差一口氣？洋基補進前 MVP Cody Bellinger ! ｜生啤C五度,https://www.youtube.com/watch?v=iuFP7GsPmVc&t=6s,洋基隊,交易
MVP打者Bellinger加入洋基　補上Soto離隊火力｜華視新聞 20241218 ‪@CtsTw‬,https://www.youtube.com/watch?v=SiSH0BkiaVc,洋基隊,交易
〈亨尼沃可〉EP43 (2/5)：爭Soto失利後，洋基的補強B計畫組出MVP戰隊？｜亨力米客思,https://www.youtube.com/watch?v=BK9QGdJuEgM,洋基隊,交易
【MLB專欄／Benny Ice】紐約洋基交易攬入Cody Bellinger：塞翁得馬，焉知非禍？,https://tw.sports.yahoo.com/news/%E3%80%90mlb%E5%B0%88%E6%AC%84%EF%BC%8Fbenny-ice%E3%80%91%E7%B4%90%E7%B4%84%E6%B4%8B%E5%9F%BA%E4%BA%A4%E6%98%93%E6%94%AC%E5%85%A5cody-bellinger%EF%BC%9A%E5%A1%9E%E7%BF%81%E5%BE%97%E9%A6%AC%EF%BC%8C%E7%84%89%E7%9F%A5%E9%9D%9E%E7%A6%8D%EF%BC%9F-010255753.html,洋基隊,交易
[情報] Cody Bellinger去洋基,https://www.ptt.cc/bbs/MLB/M.1734472030.A.D3E.html,洋基隊,交易
別爭 ，2020世界大賽冠軍 道奇隊來了？,https://tw.sports.yahoo.com/news/%E5%88%A5%E7%88%AD-2020%E4%B8%96%E7%95%8C%E5%A4%A7%E8%B3%BD%E5%86%A0%E8%BB%8D-%E9%81%93%E5%A5%87%E9%9A%8A%E4%BE%86%E4%BA%86-040539143.html,道奇隊,世界冠軍
貝林格超前轟 道奇驚天逆轉勇士進世界大賽,https://www.cna.com.tw/news/firstnews/202010195006.aspx,道奇隊,世界冠軍
什麼洛杉磯道奇隊會是2020年MLB世界大賽的總冠軍？,https://www.sportsv.net/articles/78457,道奇隊,世界冠軍
世界大賽道奇擊敗光芒 奪隊史第7冠,https://www.cna.com.tw/news/firstnews/202010285003.aspx,道奇隊,世界冠軍
全票通過！ Judge、Bellinger獲選新人王,https://tw.sports.yahoo.com/news/%E5%85%A8%E7%A5%A8%E9%80%9A%E9%81%8E-judge-bellinger%E7%8D%B2%E9%81%B8%E6%96%B0%E4%BA%BA%E7%8E%8B-021359109.html,道奇隊,新人王
【全票新人王組合(二)-藍白軍新四棒Cody Bellinger】,https://www.sportsv.net/articles/46678,道奇隊,新人王
MLB新人王 洋基賈吉道奇貝林格獲獎,https://www.cna.com.tw/news/aspt/201711140040.aspx,道奇隊,新人王
2019年MLB年度MVP－Mike Trout三度稱霸、Cody Bellinger首度獲獎,https://www.sportsv.net/articles/69148,道奇隊,MVP
Bellinger completes Awards trifecta with MVP,https://www.mlb.com/news/cody-bellinger-2019-nl-mvp-award,道奇隊,MVP
Dodgers slugger Cody Bellinger voted the National League most valuable player,https://www.latimes.com/sports/dodgers/story/2019-11-14/dodgers-slugger-cody-bellinger-voted-national-league-most-valuable-player,道奇隊,MVP
[分享] 2023國聯東山再起獎-Cody Bellinger,https://www.pttweb.cc/bbs/Baseball/M.1701220019.A.A51,小熊隊,東山再起
2023年MLB東山再起獎公佈：Liam Hendriks、Cody Bellinger 雙雙獲獎,https://www.sportsv.net/articles/108193,小熊隊,東山再起
MLB》罕德瑞克斯抗癌成功獲東山再起獎！ 貝林傑成小熊隊史第一人,https://sports.ltn.com.tw/news/breakingnews/4504643,小熊隊,東山再起
[情報] Cody Bellinger續留小熊,https://www.ptt.cc/bbs/MLB/M.1730567523.A.038.html,小熊隊,2024合約
[情報] Cody Bellinger 和小熊簽約,https://www.ptt.cc/bbs/Baseball/M.1708845428.A.95C.html,小熊隊,2024合約
[情報] Cody Bellinger 與小熊簽約,https://www.ptt.cc/bbs/Baseball/M.1670368634.A.692.html,小熊隊,2023合約
[情報] Cody Bellinger去小熊,https://www.ptt.cc/bbs/Baseball/M.1671058016.A.814.html,小熊隊,2023合約
